Thermal	--	--	NH3	--	--	N2	--	--
nm	n	k	nm	n	k	nm	n	k
830,74481	2,10281	0,75277	830,74481	2,15676	0,65245	830,74481	2,4928	0,58326
832,3114	2,10435	0,75534	832,3114	2,15771	0,65489	832,3114	2,49362	0,58484
833,87793	2,10592	0,75789	833,87793	2,15868	0,65732	833,87793	2,49446	0,58642
835,44434	2,1075	0,76042	835,44434	2,15967	0,65973	835,44434	2,49531	0,58799
837,01062	2,1091	0,76293	837,01062	2,16068	0,66214	837,01062	2,49617	0,58955
838,57678	2,11072	0,76542	838,57678	2,1617	0,66454	838,57678	2,49704	0,59111
840,14288	2,11235	0,76789	840,14288	2,16274	0,66692	840,14288	2,49792	0,59266
841,7088	2,114	0,77033	841,7088	2,1638	0,66929	841,7088	2,49882	0,5942
843,2746	2,11567	0,77276	843,2746	2,16488	0,67165	843,2746	2,49973	0,59574
844,84033	2,11736	0,77517	844,84033	2,16598	0,674	844,84033	2,50065	0,59727
846,40595	2,11906	0,77756	846,40595	2,16709	0,67633	846,40595	2,50158	0,5988
847,97138	2,12077	0,77992	847,97138	2,16822	0,67866	847,97138	2,50252	0,60031
849,5368	2,1225	0,78227	849,5368	2,16936	0,68097	849,5368	2,50347	0,60182
